Date,ret,rv,vix,nfci
2023-12-04,-0.005423188063826245,1.5281451726676022e-05,13.08,-0.33
2023-12-05,-0.0005690315939350654,1.5504833408121878e-05,12.85,-0.33
2023-12-06,-0.003913851944943758,2.168977973805216e-05,12.97,-0.33
2023-12-07,0.007936610684822654,1.058359903874914e-05,13.06,-0.33
2023-12-08,0.004087134146503857,1.4786291873267451e-05,12.35,-0.339
2023-12-11,0.003916813547780507,6.288829682453608e-06,12.63,-0.339
2023-12-12,0.004588812795692121,1.839149203186515e-05,12.07,-0.339
2023-12-13,0.013558345175020747,3.5502089036569675e-05,12.19,-0.339
2023-12-14,0.0026435651851546282,4.393372893411505e-05,12.48,-0.339
2023-12-15,-7.625240044895065e-05,9.340182981871775e-06,12.28,-0.348
2023-12-18,0.004518122263400315,8.898125439109914e-06,12.56,-0.348
2023-12-19,0.00584926745082015,3.404238390209147e-06,12.53,-0.348
2023-12-20,-0.01479314796530673,6.720454941517816e-05,13.67,-0.348
2023-12-21,0.01024876930727281,2.7737254205047402e-05,13.65,-0.348
2023-12-22,0.0016586821527599938,2.8924473369751677e-05,13.03,-0.357
2023-12-26,0.004222761046978718,1.0862814985787539e-05,12.99,-0.357
2023-12-27,0.0014294356164228361,4.839202946065027e-06,12.43,-0.357
2023-12-28,0.00037010611032783913,3.150437282992667e-06,12.47,-0.357
2023-12-29,-0.002830477036734891,2.6294342228049213e-05,12.45,-0.365
2024-01-02,-0.005676660799721844,2.222478205583033e-05,13.2,-0.365
2024-01-03,-0.008048618327197943,1.2550995530571608e-05,14.04,-0.365
2024-01-04,-0.0034342716633180004,3.342491826660707e-05,14.13,-0.365
2024-01-05,0.0018240216394342923,3.429559406439361e-05,13.35,-0.373
2024-01-08,0.01401594543635376,3.179390335544134e-05,13.08,-0.373
2024-01-09,-0.001478993852318311,2.3722116379174734e-05,12.76,-0.373
2024-01-10,0.005649980650495934,1.6891377433599096e-05,12.69,-0.373
2024-01-11,-0.0006712808369613299,7.393704826632436e-05,12.44,-0.373
2024-01-12,0.0007506937530337154,2.3472943830148417e-05,12.7,-0.381
2024-01-16,-0.0037383190523563314,2.663011152759662e-05,13.84,-0.381
2024-01-17,-0.005632731271107971,1.9334366935433374e-05,14.79,-0.381
2024-01-18,0.008766720726242738,3.7694011355133503e-05,14.13,-0.381
2024-01-19,0.012238308232548789,3.6613127065430514e-05,13.3,-0.388
2024-01-22,0.002191921187231216,1.2435056282289483e-05,13.19,-0.388
2024-01-23,0.0029171153407645534,9.373043680172262e-06,12.55,-0.388
2024-01-24,0.000811598976216743,2.3347200499123142e-05,13.14,-0.388
2024-01-25,0.005246578134979529,1.6491671745090225e-05,13.45,-0.388
2024-01-26,-0.0006519977554262368,1.3208763388295092e-05,13.26,-0.394
2024-01-29,0.007528365505246271,1.685082537917997e-05,13.6,-0.394
2024-01-30,-0.0006008303969800011,4.5163051945930606e-06,13.31,-0.394
2024-01-31,-0.016236851740732305,3.316030272538311e-05,14.35,-0.394
2024-02-01,0.012416286114049768,2.7062450207883993e-05,13.88,-0.394
2024-02-02,0.01062777072263188,6.405015770586983e-05,13.85,-0.401
2024-02-05,-0.0031914247092839076,2.8093875310883413e-05,13.67,-0.401
2024-02-06,0.0023077459317484283,1.0446968661726986e-05,13.06,-0.401
2024-02-07,0.008207682594008503,1.1607735417136687e-05,12.83,-0.401
2024-02-08,0.0005704205400913764,3.4350230427945416e-06,12.79,-0.401
2024-02-09,0.005725917128794222,9.825902063303842e-06,12.93,-0.408
2024-02-12,-0.0009494041426520994,1.9282479358395527e-05,13.93,-0.408
2024-02-13,-0.013768609419845035,4.972117396503408e-05,15.85,-0.408
2024-02-14,0.009534168304217161,3.372368589139628e-05,14.38,-0.408
2024-02-15,0.005804372674040437,1.115660410710985e-05,14.01,-0.408
2024-02-16,-0.0048150435759612975,2.0447432341075358e-05,14.24,-0.416
2024-02-20,-0.006023426465818105,2.7280130396596386e-05,15.42,-0.416
2024-02-21,0.001263401495103622,2.2583695019809687e-05,15.34,-0.416
2024-02-22,0.020902888666403996,2.511551019982101e-05,14.54,-0.416
2024-02-23,0.0003478870265016809,1.468159930492831e-05,13.75,-0.424
2024-02-26,-0.0037939392446677545,7.752494959374787e-06,13.74,-0.424
2024-02-27,0.0017048955387206632,1.0462952116574193e-05,13.43,-0.424
2024-02-28,-0.0016595313211116292,6.944259434479529e-06,13.84,-0.424
2024-02-29,0.00521547045579851,3.416894792884688e-05,13.4,-0.424
2024-03-01,0.007975936433387787,1.8761226530555096e-05,13.11,-0.431
2024-03-04,-0.0011939745749618424,9.578100216274997e-06,13.49,-0.431
2024-03-05,-0.010245406275918967,4.9290421935610614e-05,14.46,-0.431
2024-03-06,0.0051279328530018375,2.4313485232192435e-05,14.5,-0.431
2024-03-07,0.010251402284984223,1.73089188273695e-05,14.44,-0.431
2024-03-08,-0.006549922992050483,7.26875583652897e-05,14.74,-0.435
2024-03-11,-0.001122868268028654,2.1004617125713772e-05,15.22,-0.435
2024-03-12,0.011139512586668232,5.629630240634942e-05,13.84,-0.435
2024-03-13,-0.0019263840021217504,1.295802168455451e-05,13.75,-0.435
2024-03-14,-0.0028752210514948473,4.524648322064302e-05,14.4,-0.435
2024-03-15,-0.006504022859738612,1.958374559371181e-05,14.41,-0.436
2024-03-18,0.006298184238481497,1.6627692456994527e-05,14.33,-0.436
2024-03-19,0.005633253044342368,2.208975376081075e-05,13.82,-0.436
2024-03-20,0.008864765516360507,2.8933557443923272e-05,13.04,-0.436
2024-03-21,0.003231309094529067,5.589724007483581e-06,12.92,-0.436
2024-03-22,-0.0014031718343261446,3.824584260826323e-06,13.06,-0.434
2024-03-25,-0.0030596403820322138,3.072936605879251e-06,13.19,-0.434
2024-03-26,-0.0028037219828060955,9.425317597157304e-06,13.24,-0.434
2024-03-27,0.008593595582706115,1.5887609280652798e-05,12.78,-0.434
2024-03-28,0.0011158627007610278,5.996717853277058e-06,13.01,-0.434
2024-04-01,-0.002015614526957421,1.910949183107917e-05,13.65,-0.434
2024-04-02,-0.007265388203672174,1.0892955186602526e-05,14.61,-0.434
2024-04-03,0.0010905275233383804,1.757686989093146e-05,14.33,-0.434
2024-04-04,-0.012411035619262378,9.159787469242251e-05,16.35,-0.434
2024-04-05,0.011038050135699251,4.872410498669485e-05,16.03,-0.424
2024-04-08,-0.00037470119004190394,7.950778410677948e-06,15.19,-0.424
2024-04-09,0.0014444494736345348,7.530335650756737e-05,14.98,-0.424
2024-04-10,-0.00950198183221218,2.8899583929884046e-05,15.8,-0.424
2024-04-11,0.007417221983342159,8.972109816957432e-05,14.91,-0.424
2024-04-12,-0.014657587802247463,5.1406656570511225e-05,17.31,-0.418
2024-04-15,-0.012094195787460293,0.00014308881144059303,19.23,-0.418
2024-04-16,-0.002058624527503383,2.8640391909103928e-05,18.4,-0.418
2024-04-17,-0.005797375076005196,6.514024696112207e-05,18.21,-0.418
2024-04-18,-0.0022106017004848155,5.292397210702301e-05,18.0,-0.418
2024-04-19,-0.00879712965405588,6.34908748373492e-05,18.71,-0.413
2024-04-22,0.008693351156837892,8.791193520782739e-05,16.94,-0.413
2024-04-23,0.011893566567723113,1.9095384888032052e-05,15.69,-0.413
2024-04-24,0.00021298737793173927,3.247095204418446e-05,15.97,-0.413
2024-04-25,-0.004586934270118803,7.695681012080895e-05,15.37,-0.413
2024-04-26,0.010157381332325244,2.9663657254617587e-05,15.03,-0.411
2024-04-29,0.0031734080766394612,2.321756063259256e-05,14.67,-0.411
2024-04-30,-0.015855551118928446,4.112453316787314e-05,15.65,-0.411
2024-05-01,-0.0034413534856305716,0.00013201274722619946,15.39,-0.411
2024-05-02,0.009087024725083381,7.264857777589542e-05,14.68,-0.411
2024-05-03,0.012478557659509448,2.702648528947544e-05,13.49,-0.411
2024-05-06,0.010273173691247806,6.640775465951775e-06,13.49,-0.411
2024-05-07,0.0013425282288253015,8.395652709480572e-06,13.23,-0.411
2024-05-08,-5.835635194628708e-06,7.657626250622345e-06,13.0,-0.411
2024-05-09,0.005078032639108443,1.3568358999674951e-05,12.69,-0.411
2024-05-10,0.0016480400801661688,1.6351545409699612e-05,12.55,-0.411
2024-05-13,-0.00024133317386620945,1.0557418175931404e-05,13.6,-0.411
2024-05-14,0.004826148527454777,9.919749488064182e-06,13.42,-0.411
2024-05-15,0.011647827787300002,1.4206046313869876e-05,12.45,-0.411
2024-05-16,-0.002083837474089023,1.2908968595408812e-05,12.42,-0.411
2024-05-17,0.0011640956878942177,8.523385388373184e-06,11.99,-0.411
2024-05-20,0.0009159703084904436,9.196028330612499e-06,12.15,-0.411
2024-05-21,0.002498749766893127,5.328594303124556e-06,11.86,-0.411
2024-05-22,-0.002709791209351664,2.249051211161588e-05,12.29,-0.411
2024-05-23,-0.007408162283471853,5.6470064542550334e-05,12.77,-0.411
2024-05-24,0.006976649076673169,1.2261551012718837e-05,11.93,-0.41
2024-05-28,0.00024877090688590897,2.050902738800735e-05,12.92,-0.41
2024-05-29,-0.007394317215743129,4.960345157558708e-06,14.28,-0.41
2024-05-30,-0.0059929575357529075,1.815935343856482e-05,14.47,-0.41
2024-05-31,0.007995824231928239,0.00012690950981375512,12.92,-0.407
2024-06-03,0.0011154602235343702,8.018213750902837e-05,13.11,-0.407
2024-06-04,0.0015016810037842276,2.804663134003507e-05,13.16,-0.407
2024-06-05,0.011778015849955636,3.5075901985918056e-05,12.63,-0.407
2024-06-06,-0.0001998366016362496,1.2415528286680803e-05,12.58,-0.407
2024-06-07,-0.0011158420502788147,3.3259943130578187e-05,12.22,-0.401
2024-06-10,0.002577529978241344,1.5359577020529936e-05,12.74,-0.401
2024-06-11,0.0027067148552095688,3.471862773603084e-05,12.85,-0.401
2024-06-12,0.008467720241887022,2.2793298742309604e-05,12.04,-0.401
2024-06-13,0.002341911437117261,2.5551600584739635e-05,11.94,-0.401
2024-06-14,-0.00039393828099854034,1.3229691103575057e-05,12.66,-0.394
2024-06-17,0.007635164372320702,5.488769972502142e-05,12.75,-0.394
2024-06-18,0.0025181541815175734,4.524983645133178e-06,12.3,-0.394
2024-06-20,-0.002529127395412445,3.233550097733534e-05,13.28,-0.394
2024-06-21,-0.0015633517188238244,1.1501996453499331e-05,13.2,-0.386
2024-06-24,-0.003069879155868094,2.9228590787341827e-05,13.33,-0.386
2024-06-25,0.003925873679182956,1.0669849689605672e-05,12.84,-0.386
2024-06-26,0.0015711962247202393,1.253903171802049e-05,12.55,-0.386
2024-06-27,0.0009069098567984213,7.909941995085014e-06,12.24,-0.386
2024-06-28,-0.004092013462368982,7.722565728708631e-05,12.44,-0.379
2024-07-01,0.0026719909814296727,1.805929163953097e-05,12.22,-0.379
2024-07-02,0.006176205771184939,1.5119325085131413e-05,12.03,-0.379
2024-07-03,0.005071562269533203,5.542233990772041e-06,12.09,-0.379
2024-07-05,0.0054339743609688185,1.3561380356631417e-05,12.48,-0.373
2024-07-08,0.0010161824764054472,6.832083815626494e-06,12.37,-0.373
2024-07-09,0.0007407974780644366,3.546231873904166e-06,12.51,-0.373
2024-07-10,0.010156314878106087,1.574838123280314e-05,12.85,-0.373
2024-07-11,-0.008801649969266023,3.7536411781212665e-05,12.92,-0.373
2024-07-12,0.00550186402496422,5.9621154221689215e-05,12.46,-0.368
2024-07-15,0.002822216423354007,4.2215756821718e-05,13.12,-0.368
2024-07-16,0.0063690499714521565,8.241356843570685e-06,13.19,-0.368
